_id,ONDERWIJSBESTUURID,ONDERWIJSAANBIEDERID,ONDERWIJSAANBIEDERGROEPID,ONDERWIJSBEGELEIDINGSAANBIEDERID,BEGINDATUM,EINDDATUM,CONTEXT,SUBCONTEXT_NUMMER,SUBCONTEXT,CONTACTNAAM,EMAILADRES,FAXNUMMER,TELEFOONNUMMER,WEBADRES,BEZOEKNL_STRAATNAAM,BEZOEKNL_HUISNUMMER,BEZOEKNL_HUISNUMMERTOEVOEGING,BEZOEKNL_POSTCODE,BEZOEKNL_PLAATSNAAM,POSTNL_STRAATNAAM,POSTNL_HUISNUMMER,POSTNL_HUISNUMMERTOEVOEGING,POSTNL_POSTCODE,POSTNL_PLAATSNAAM,BEZOEKBTL_ADRESREGEL_EEN,BEZOEKBTL_ADRESREGEL_TWEE,BEZOEKBTL_ADRESREGEL_DRIE,BEZOEKBTL_LANDNAAM,POSTBTL_ADRESREGEL_EEN,POSTBTL_ADRESREGEL_TWEE,POSTBTL_ADRESREGEL_DRIE,POSTBTL_LANDNAAM
1386,105B675,,,,2021-11-04T00:00:00,,ALGEMEEN,0,,,info@kerstenschool.nl,,0113351370,http://www.kerstenschool.nl,Cleeuwendamme,1,,4454BX,Borssele,Cleeuwendamme,1,,4454BX,Borssele,,,,,,,,
1387,105B676,,,,2021-11-29T00:00:00,,ALGEMEEN,0,,Directie,directie@julianaschoolkrabbendijke.nl,,0113-501846,http://www.julianaschoolkrabbendijke.nl,Vlierbessestraat,2,,4413DK,Krabbendijke,Vlierbessestraat,2,,4413DK,Krabbendijke,,,,,,,,
1388,105B683,,,,2025-03-20T00:00:00,,ALGEMEEN,2,,,info@kiemuden.nl,,0413332396,https://www.kiemuden.nl,Meerloseweg,3,,5402XH,Uden,Meerloseweg,3,,5402XH,Uden,,,,,,,,
1389,105B697,,,,2022-12-06T00:00:00,,ALGEMEEN,0,,,directie@esvede.nl,,0318615959,http://edeseschoolvereniging.nl,Zuidelijke Spoorstraat,8,,6711NN,Ede,Zuidelijke Spoorstraat,8,,6711NN,Ede,,,,,,,,
1390,105B698,,,,2026-02-10T00:00:00,,ALGEMEEN,1,,CvB,c.meinema@viaa.nl,,0031384255542,https://www.viaa.nl,Wethouder Alferinkweg,2,,8012GA,Zwolle,POSTBUS,10030,,8000GA,Zwolle,,,,,,,,
1391,105B705,,,,2025-11-10T00:00:00,,ALGEMEEN,0,,directeur,directie@gooilandschool.nl,,0356915994,,Meentweg,44,,1405JB,Bussum,Meentweg,44,,1405JB,Bussum,,,,,,,,
1392,105B712,,,,2024-04-03T00:00:00,,ALGEMEEN,0,Ons postbusadres wordt per 1 mei 2024 opgeheven. Met ingang van vandaag kunt u contact met ons opnemen via onderstaand adres en mailadres.,,info@leeuwarderschoolvereniging.nl,,0582126618,,Jelsumerstraat,10,,8917EN,Leeuwarden,Jelsumerstraat,10,,8917EN,Leeuwarden,,,,,,,,
1393,105B717,,,,2025-10-07T00:00:00,,ALGEMEEN,1,,Managementassistente,wvdp@rhbu.nl,,0629370473,https://www.rhbu.nl,Het Drie,21,,3888KD,Uddel,Het Drie,21,,3888KD,Uddel,,,,,,,,
1394,105B733,,,,2023-01-17T00:00:00,,ALGEMEEN,0,,directie,directie@ons-stolwijk.nl,,0182-341448,http://www.ons-stolwijk.nl,Bilwijkerweg,6,a,2821SB,Stolwijk,Bilwijkerweg,6,a,2821SB,Stolwijk,,,,,,,,
1395,105B734,,,,2021-10-07T00:00:00,,ALGEMEEN,0,,,info@nbsbaarn.nl,,0355422315,https://nbsbaarn.nl/,Vondellaan,2,,3743HZ,Baarn,Vondellaan,2,,3743HZ,Baarn,,,,,,,,
1396,105B738,,,,2024-05-06T00:00:00,,ALGEMEEN,1,,,info@lijn83po.nl,,0485-540939,,De Grens,35,b,6598DK,Heijen,,,,,,,,,,,,,
1397,105B746,,,,2021-11-10T00:00:00,,ALGEMEEN,2,,,info@pcpobr.nl,,0180620533,,Achterom,70,,2991CV,Barendrecht,POSTBUS,217,,2990AE,Barendrecht,,,,,,,,
1398,105B750,,,,2021-10-15T00:00:00,,ALGEMEEN,0,,,bestuur@hermanbroeren.nu,,015-2137988,https://www.hermanbroerenstichting.nu,Clara van Sparwoudestraat,1,,2612SP,Delft,Clara van Sparwoudestraat,1,,2612SP,Delft,,,,,,,,
1399,105B757,,,,2023-05-15T00:00:00,,ALGEMEEN,0,,Algemeen,tabijnbureau@tabijn.nl,,0251-230082,https://www.tabijn.nl,De Trompet,1960,,1967DB,Heemskerk,POSTBUS,280,,1960AG,Heemskerk,,,,,,,,
1400,105B759,,,,2021-09-14T00:00:00,,ALGEMEEN,0,,,info@tweemaster.nl,,035-6943184,http://tweemaster.nl,Amersfoortsestraatweg,12,A,1411HC,Naarden,Amersfoortsestraatweg,12,A,1411HC,Naarden,,,,,,,,
1401,105B760,,,,2022-06-17T00:00:00,,ALGEMEEN,0,,,,,0525-661294,http://www.dsbaxschool.nl,Oude Kerkweg,75,,8085AM,Doornspijk,Oude Kerkweg,75,,8085AM,Doornspijk,,,,,,,,
1402,105B763,,,,2023-09-11T00:00:00,,ALGEMEEN,0,,,josedejong@montessorischool-spijkenisse.nl,,0181635634,,,,,,,Salamanderveen,352,,3205TG,Spijkenisse,,,,,,,,
1403,105B770,,,,2021-06-28T00:00:00,,ALGEMEEN,0,,,info@dehoeveschool.nl,,033-2536093,https://dehoeveschool.nl,Veenslagenweg,17,,3871NA,Hoevelaken,POSTBUS,116,,3870CC,Hoevelaken,,,,,,,,
1404,105B771,,,,2026-02-19T00:00:00,,ALGEMEEN,0,,,info@arlanta.nl,,0519-222736,,,,,,,Altenastreek,66,,9101BA,Dokkum,,,,,,,,
1405,105B779,,,,2025-09-29T00:00:00,,ALGEMEEN,0,,,bestuur@pcbo-rheden.nl,,0268200361,https://www.pcbo-rheden.nl,Doesburgsedijk,7,,6953AK,Dieren,POSTBUS,365,,6950AJ,Dieren,,,,,,,,
1406,105B781,,,,2021-04-15T00:00:00,,ALGEMEEN,0,,,info@cadansprimair.nl,,073-5944328,http://www.cadansprimair.nl,Schildershof,1,A,5271BM,Sint-Michielsgestel,Schildershof,1,A,5271BM,Sint-Michielsgestel,,,,,,,,
1407,105B788,,,,2025-09-29T00:00:00,,ALGEMEEN,0,,,directeur@crescendoschool.nl,,0206957178,https://www.crescendo-school.nl,Kortvoort,61,C,1104NA,Amsterdam,Kortvoort,61,C,1104NA,Amsterdam,,,,,,,,
1408,105B796,,,,2023-09-21T00:00:00,,ALGEMEEN,0,,,directie@basisschooldewissel.nl,,0104841493,https://www.basisschooldewissel.nl/,,,,,,Spoorweghaven,174,,3071ZG,Rotterdam,,,,,,,,
1409,105B798,,,,2024-03-19T00:00:00,,ALGEMEEN,0,,,aahrouch@bsyunusemre.nl,,070 389 53 76,https://www.bsyunusemre.nl/,Mandelaplein,2,,2572HT,'s-Gravenhage,Mandelaplein,2,,2572HT,'s-Gravenhage,,,,,,,,
1410,105B802,,,,2022-05-17T00:00:00,,ALGEMEEN,0,,,info@elamien.nl,,020-6199970,,Saaftingestraat,312,,1069BW,Amsterdam,POSTBUS,67014,,1060JA,Amsterdam,,,,,,,,
1411,105B809,,,,2025-10-06T00:00:00,,ALGEMEEN,0,,,directie@angelaschoolboxtel.nl,,0411672701,,Baroniestraat,41,,5281JB,Boxtel,Baroniestraat,41,,5281JB,Boxtel,,,,,,,,
1412,105B811,,,,2023-05-23T00:00:00,,ALGEMEEN,0,,,directie@hellenbroekschool.nl,,0786120899,https://hellenbroekschool.nl/,Swanendrift,78,,3332RN,Zwijndrecht,Swanendrift,78,,3332RN,Zwijndrecht,,,,,,,,
1413,105B819,,,,2026-02-05T00:00:00,,ALGEMEEN,0,,,seconderwijs@koraal.nl,,0411-652444,,Schijndelseweg,1,,5283AB,Boxtel,POSTBUS,40,,4280AA,Boxtel,,,,,,,,
1414,105B822,,,,2021-07-16T00:00:00,,ALGEMEEN,0,,,h.dejongh@konwilhelminaschool.nl,,0184614053,http://www.konwilhelminaschool.nl,Noordstraat,1,,3371SP,Hardinxveld-Giessendam,Noordstraat,1,,3371SP,Hardinxveld-Giessendam,,,,,,,,
1415,105B827,,,,2021-10-27T00:00:00,,ALGEMEEN,0,,Directeur-bestuurder,info@koelmangorinchem.nl,,0183-621645,http://www.koelmangorinchem.nl,Tapperstraat,1,,4204TR,Gorinchem,Tapperstraat,1,,4204TR,Gorinchem,,,,,,,,
1416,105B840,,,,2021-12-16T00:00:00,,ALGEMEEN,0,,,info@onsveen.nl,,0416691350,,Hardenbergh,4,,4264SG,Veen,POSTBUS,40,,4264ZG,Veen,,,,,,,,
1417,105B851,,,,2021-04-22T00:00:00,,ALGEMEEN,0,,Eben-Haëzerschool,,,,,,,,,,Notaris van Aalstweg,14,b,4181BC,Waardenburg,,,,,,,,
1418,105B881,,,,2021-07-15T00:00:00,,ALGEMEEN,0,,,info@vcorg.nl,,078-6141791,,Prof. Waterinklaan,43,,3312KM,Dordrecht,Prof. Waterinklaan,43,,3312KM,Dordrecht,,,,,,,,
1419,105B883,,,,2021-12-03T00:00:00,,ALGEMEEN,0,,,info@dynamiek.nu,,0774678020,,Expeditiestraat,3,a,5961PX,Horst,Expeditiestraat,3,a,5961PX,Horst,,,,,,,,
1420,105B887,,,,2022-01-19T00:00:00,,ALGEMEEN,0,,Bestuurskantoor,info@optimusonderwijs.nl,,0485 318910,https://www.optimusonderwijs.nl,Stoofweg,2,,5361HZ,Grave,Stoofweg,2,,5361HZ,Grave,,,,,,,,
1421,105B890,,,,2022-07-18T00:00:00,,ALGEMEEN,0,cc aan bestuur@scpo-lelystad.nl,Bestuur,secretariaat@scpo-lelystad.nl,,0320767605,https://www.scpo-lelystad.nl,Meentweg,14,A,8224BP,Lelystad,POSTBUS,223,,8200AE,Lelystad,,,,,,,,
1422,105B900,,,,2026-01-22T00:00:00,,ALGEMEEN,0,,,bestuur@ijsselrijk.nl,,038-3855606,,,,,,,Warmtekrachtstraat,6,,8094SE,Hattemerbroek,,,,,,,,
1423,105B927,,,,2023-10-09T00:00:00,,ALGEMEEN,0,,,secretariaat@skoss.nl,,0356211530,https://skoss.nl,Amsterdamseweg,41,,3812RP,Amersfoort,POSTBUS,930,,3800AX,Amersfoort,,,,,,,,
1424,105B931,,,,2023-01-10T00:00:00,,ALGEMEEN,0,,,directieskoa@jozefachterveld.nl,,0342451956,https://www.jozefachterveld.nl/,Walter van Amersfoortstraat,38,,3791AR,Achterveld,Postbus,13,,3790CA,Achterveld,,,,,,,,
1425,105B937,,,,2021-10-07T00:00:00,,ALGEMEEN,0,,,info@skowassenaar.nl,,0623644029,http://skowassenaar.nl,,,,,,,,,,,,,,,,,,
1426,105B950,,,,2021-06-17T00:00:00,,ALGEMEEN,0,,,secretariaat@konot.nl,,0541-580350,http://www.konot.nl,Lariksstraat,12,,7572DE,Oldenzaal,POSTBUS,369,,7570AJ,Oldenzaal,,,,,,,,
1427,105B954,,,,2023-10-10T00:00:00,,ALGEMEEN,0,,,info@skowf.nl,,0229-544810,http://www.skowf.nl,Kerkstraat,79,,1687AM,Wognum,Kerkstraat,79,,1687AM,Wognum,,,,,,,,
1428,105B957,,,,2021-11-17T00:00:00,,ALGEMEEN,0,,,info@ehkamerik.nl,,0348-401375,https://www.ebenhaezerkamerik.nl,Overstek,2,E,3471EJ,Kamerik,Overstek,2,E,3471EJ,Kamerik,,,,,,,,
1429,105B960,,,,2021-09-21T00:00:00,,ALGEMEEN,0,,,info@mytylschoolroosendaal.nl,,0165558200,https://www.mytylschoolroosendaal.nl,Gezellelaan,13,,4707CC,Roosendaal,Gezellelaan,13,,4707CC,Roosendaal,,,,,,,,
1430,105B964,,,,2023-09-21T00:00:00,,ALGEMEEN,0,,St. Bavoschool,sintbavo@spoz.nl,,076-5961970,https://bavoschool.net,Sint Bavostraat,5,,4891CG,Rijsbergen,POSTBUS,65,,4890AB,Rijsbergen,,,,,,,,
1431,105B982,,,,2021-06-17T00:00:00,,ALGEMEEN,0,,,koorschool@koorschoolutrecht.nl,,030-2340910,,,,,,,Plompetorengracht,5,,3512CA,Utrecht,,,,,,,,
1432,106B010,,,,2021-08-01T00:00:00,,ALGEMEEN,0,,Bestuurskantoor,bestuurskantoor@spoz.nl,,06-21712550,http://www.spoz.nl,Molenstraat,170,a,4881GG,Zundert,POSTBUS,163,,4880AD,Zundert,,,,,,,,
1433,106B020,,,,2023-02-06T00:00:00,,ALGEMEEN,0,,,info@twijs.nl,,023-7078380,,Garenkokerskade,19,,2013AJ,Haarlem,POSTBUS,2018,,2002CA,Haarlem,,,,,,,,
1434,106B026,,,,2025-11-25T00:00:00,,ALGEMEEN,1,,Managementassistent,e.wildeboer@iederkindtelt.nl,,,,Kuperserf,47,a,7443HC,Nijverdal,,,,,,,,,,,,,
1435,106B037,,,,2021-07-13T00:00:00,,ALGEMEEN,0,,,info@kopwerk.nl,,0223-203000,https://www.kopwerk.nl/,De Verwachting,7,,1761VM,Anna Paulowna,POSTBUS,79,,1760AB,Anna Paulowna,,,,,,,,
1436,106B045,,,,2022-01-06T00:00:00,,ALGEMEEN,1,,Algemeen,info@pit-ko.nl,,078 820 00 10,https://pit-ko.nl,Dr. Plesmanstraat,22,,3331KH,Zwijndrecht,POSTBUS,325,,3330AH,Zwijndrecht,,,,,,,,
1437,106B061,,,,2022-07-20T00:00:00,,ALGEMEEN,0,,,administratie@emiliusschool.nl,,0499494242,http://www.emiliusschool.nl,Nieuwstraat,72,,5691AE,Son en Breugel,Nieuwstraat,72,,5691AE,Son en Breugel,,,,,,,,
1438,106B071,,,,2021-04-29T00:00:00,,ALGEMEEN,0,,Directeur,directeur@stjb.nl,,0252418191,https://de-waterval.nl/,Judith Leijsterstraat,2,,2162JK,Lisse,Judith Leijsterstraat,2,,2162JK,Lisse,,,,,,,,
1439,106B081,,,,2025-10-27T00:00:00,,ALGEMEEN,0,,admin,administratie@schakelvinkeveen.nl,,0297263392,,Pijlstaartlaan,1,,3645GR,Vinkeveen,Pijlstaartlaan,1,,3645GR,Vinkeveen,,,,,,,,
1440,106B083,,,,2022-04-18T00:00:00,,ALGEMEEN,1,,,bestuur@ijsselrijk.nl,,038-3855606,,,,,,,POSTBUS,66,,8090AB,Wezep,,,,,,,,
1441,106B088,,,,2025-02-04T00:00:00,,ALGEMEEN,0,,,bestuur@dedrieslag.nl,,0342478243,https://www.dedrieslag.nl/,Lange Voren,88,,3773AS,Barneveld,POSTBUS,228,,3770AE,Barneveld,,,,,,,,
1442,106B094,,,,2021-12-01T00:00:00,,ALGEMEEN,0,,,secretariaat@scholenvanoranje.nl,,078-6214437,https://www.scholenvanoranje.nl,Dubbelsteynlaan West,54,,3319EL,Dordrecht,POSTBUS,9041,,3301AA,Dordrecht,,,,,,,,
1443,106B097,,,,2021-07-01T00:00:00,,ALGEMEEN,0,,,directie@debsv.nl,,023-5256205,http://www.debsv.nl,Lage Duin en Daalseweg,17,,2061BB,Bloemendaal,Lage Duin en Daalseweg,17,,2061BB,Bloemendaal,,,,,,,,
1444,106B107,,,,2021-11-26T00:00:00,,ALGEMEEN,0,,Directie,directie@gsvh.nl,,035-6242220,http://gsvh.nl,Mozartlaan,6,,1217CN,Hilversum,Mozartlaan,6,,1217CN,Hilversum,,,,,,,,
1445,106B111,,,,2021-09-24T00:00:00,,ALGEMEEN,0,,,directie@kralingscheschool.nl,,0104526689,https://www.kralingscheschool.nl,Rozenburglaan,27,,3062EB,Rotterdam,POSTBUS,4027,,3006AA,Rotterdam,,,,,,,,
1446,106B112,,,,2021-10-28T00:00:00,,ALGEMEEN,0,,,directie@vanderhucht.nl,,0356037664,https://www.vanderhucht.nl/stichting-van-der-huchtscholen/,Paulus Potterlaan,13,,3761AT,Soest,POSTBUS,3248,,3760DE,Soest,,,,,,,,
1447,106B121,,,,2021-11-22T00:00:00,,ALGEMEEN,0,,,secretariaat@pcbovroomshoop.nl,,0546-241494,https://www.pcbovroomshoop.nl,Stobbelaan,67,,7681ZN,Vroomshoop,Stobbelaan,67,,7681ZN,Vroomshoop,,,,,,,,
1448,106B177,,,,2023-10-03T00:00:00,,ALGEMEEN,0,,Beleidsmedewerker ICT,h.visser@noventa.nl,,,,,,,,,,,,,,,,,,,,,
1449,106B179,,,,2021-11-17T00:00:00,,ALGEMEEN,1,,Bestuursbureau,info@gelderveste.nl,,0575462573,https://www.gelderveste.nl,Decanijeweg,3,,7251BP,Vorden,Decanijeweg,3,,7251BP,Vorden,,,,,,,,
1450,106B183,,,,2025-10-08T00:00:00,,ALGEMEEN,0,,,info@floreer.nl,,,https://www.stichtingfloreer.nl,,,,,,,,,,,,,,,,,,
1451,106B211,,,,2025-04-24T00:00:00,,ALGEMEEN,0,,,info@trefonderwijs.nl,,0521-342086,http://www.trefonderwijs.nl,Blankenstein,130,,7943PE,Meppel,Blankenstein,130,,7943PE,Meppel,,,,,,,,
1452,106B216,,,,2022-01-25T00:00:00,,ALGEMEEN,0,Bereikbaar op werkdagen van 08:30 tot 17:00 uur,Klantcontactcentrum,info@fontys.nl,,0885080000,https://fontys.nl/,,,,,,POSTBUS,347,,5600AH,Eindhoven,,,,,,,,
1453,106B217,,,,2021-10-04T00:00:00,,ALGEMEEN,0,,,info@julianaschoolwilnis.nl,,0297281614,https://www.julianaschoolwilnis.nl,Stationsweg,7,,3648AN,Wilnis,Stationsweg,7,,3648AN,Wilnis,,,,,,,,
1454,106B241,,,,2022-02-04T00:00:00,,ALGEMEEN,0,,,info@pcbobaarnsoest.nl,,0356099233,https://pcbobaarnsoest.nl/,Oostergracht,42,,3763LZ,Soest,POSTBUS,3178,,3760DD,Soest,,,,,,,,
1455,106B244,,,,2023-07-18T00:00:00,,ALGEMEEN,0,,,info@ichthushuizen.nl,,035-5256961,https://ichthushuizen.nl,Handelsweg,11,,1271EJ,Huizen,Handelsweg,11,,1271EJ,Huizen,,,,,,,,
1456,106B246,,,,2026-01-26T00:00:00,,ALGEMEEN,0,,Stafbureau,communicatie@vsithaka.nl,,,http://www.vsithaka.nl,Wouwermanstraat,49,A,2023XD,Haarlem,POSTBUS,92,,2050AB,Overveen,,,,,,,,
1457,106B247,,,,2023-06-26T00:00:00,,ALGEMEEN,0,,,info@stichtingpallas.nl,,,,,,,,,,,,,,,,,,,,,
1458,106B250,,,,2021-11-04T00:00:00,,ALGEMEEN,0,,,info@spco.nl,,0348432334,http://www.spco.nl,Leidsestraatweg,147,,3443BT,Woerden,POSTBUS,80,,3360AB,Sliedrecht,,,,,,,,
1459,106B251,,,,2024-08-15T00:00:00,,ALGEMEEN,0,,,salto@salto-eindhoven.nl,,0402606710,,Insulindelaan,115,A,5642CV,Eindhoven,Insulindelaan,115,A,5642CV,Eindhoven,,,,,,,,
1460,106B263,,,,2021-10-13T00:00:00,,ALGEMEEN,0,,,info@agora.nu,,075-2010101,http://www.agora.nu,Rosmolenstraat,30,,1502PA,Zaandam,Rosmolenstraat,30,,1502PA,Zaandam,,,,,,,,
1461,106B283,,,,2024-10-03T00:00:00,,ALGEMEEN,0,,,info@sioz.nl,,,,,,,,,,,,,,,,,,,,,
1462,106B284,,,,2021-07-16T00:00:00,,ALGEMEEN,0,,,info@auris.nl,,0108889600,https://auris.nl/,Ammanplein,2,,3031RT,Rotterdam,POSTBUS,3192,,3003AD,Rotterdam,,,,,,,,
1463,106B297,,,,2026-02-12T00:00:00,,ALGEMEEN,0,,,info@goudonderwijs.nl,,0595-424955,https://www.goudonderwijs.nl,Noorderstraat,13,,9989AA,Warffum,Noorderstraat,13,,9989AA,Warffum,,,,,,,,
1464,106B303,,,,2023-03-02T00:00:00,,ALGEMEEN,0,,,bestuur@accrete.nl,,038-3865479,https://www.accrete.nl,Kanaalweg,4,,8356VS,Blokzijl,Kanaalweg,4,,8356VS,Blokzijl,,,,,,,,
1465,106B304,,,,2025-06-04T00:00:00,,ALGEMEEN,0,,,bestuurssecretariaat@montessori-mzh.nl,,,,,,,,,,,,,,,,,,,,,
1466,106B316,,,,2021-09-20T00:00:00,,ALGEMEEN,0,,,info@talentprimair.nl,,0355257578,https://www.talentprimair.nl,Amersfoortsestraatweg,180,c,1272RR,Huizen,,,,,,,,,,,,,
1467,106B328,,,,2021-07-16T00:00:00,,ALGEMEEN,1,,Bestuursbureau,info@opoz.nl,,079-3290825,https://www.opoz.nl/,Blauw-roodlaan,156,,2718SK,Zoetermeer,Blauw-roodlaan,156,,2718SK,Zoetermeer,,,,,,,,
1468,106B332,,,,2021-07-28T00:00:00,,ALGEMEEN,0,,,info@spoutrecht.nl,,0302652640,http://www.spoutrecht.nl,Orteliuslaan,871,,3528BE,Utrecht,POSTBUS,9315,,3506GH,Utrecht,,,,,,,,
1469,106B338,,,,2021-09-13T00:00:00,,ALGEMEEN,0,,bestuurskantoor,info@onderwijsprimair.nl,,0182351708,https://www.onderwijsprimair.nl,'t Vaartland,3,,2821LH,Stolwijk,'t Vaartland,3,,2821LH,Stolwijk,,,,,,,,
1470,106B344,,,,2021-12-14T00:00:00,,ALGEMEEN,0,,,info@oponoa.nl,,0545275166,http://www.oponoa.nl,Jonkerspad,9,,7271LC,Borculo,POSTBUS,16,,7270AA,Borculo,,,,,,,,
1471,106B353,,,,2025-10-06T00:00:00,,ALGEMEEN,0,,,info@vpcohasselt.nl,,06-11071642,http://www.vpcohasselt.nl,Prinses Marijkestraat,1,,8061JM,Hasselt,Prinses Marijkestraat,1,,8061JM,Hasselt,,,,,,,,
1472,106B364,,,,2021-05-26T00:00:00,,ALGEMEEN,0,,,info@opo-albrandswaard.nl,,010-5015977,,Emmastraat,46,,3171AH,Poortugaal,POSTBUS,752,,3170AB,Poortugaal,,,,,,,,
1473,106B369,,,,2021-11-12T00:00:00,,ALGEMEEN,0,,Bestuurskantoor,info@groeisaampo.nl,,0487541022,https://www.groeisaampo.nl,Van Heemstraweg,53,,6651KH,Druten,Van Heemstraweg,53,,6651KH,Druten,,,,,,,,
1474,106B375,,,,2021-07-07T00:00:00,,ALGEMEEN,0,,,info@stichtingallure.nl,,0226357230,https://www.stichtingallure.nl,Kerkstraat,79,A,1687AM,Wognum,Kerkstraat,79,A,1687AM,Wognum,,,,,,,,
1475,106B380,,,,2022-07-06T00:00:00,,ALGEMEEN,0,,,info@pcboleeuwarden.nl,,0582130350,,,,,,,,,,,,,,,,,,,
1476,106B386,,,,2021-12-02T00:00:00,,ALGEMEEN,1,,,info@opspoor.nl,,0299-820900,https://www.opspoor.nl,Waterlandlaan,30,,1441MP,Purmerend,Waterlandlaan,30,,1441MP,Purmerend,,,,,,,,
1477,106B387,,,,2023-02-10T00:00:00,,ALGEMEEN,0,,Bestuurskantoor,infobestuursbureau@obsh.nl,,0492476766,https://www.obshelmond.nl,Panovenweg,1,,5708HR,Helmond,,,,,,,,,,,,,
1478,106B390,,,,2023-11-17T00:00:00,,ALGEMEEN,0,,,info@stichtingsurplus.nl,,0224 203040,https://www.stichtingsurplus.nl,Westerpark,164,,1742BX,Schagen,,,,,,,,,,,,,
1479,106B394,,,,2025-03-24T00:00:00,,ALGEMEEN,0,,,mechideveer@floriander.nl,,0416-283103,http://www.floriander.nl,Dodenauweg,2,,5171NG,Kaatsheuvel,POSTBUS,79,,5170AB,Kaatsheuvel,,,,,,,,
1480,106B395,,,,2021-06-07T00:00:00,,ALGEMEEN,0,,Secretariaat,info@ijsselgraaf.nl,,0314382990,https://ijsselgraaf.nl,Keppelseweg,56,,6999AR,Hummelo,Keppelseweg,56,,6999AR,Hummelo,,,,,,,,
1481,106B396,,,,2025-09-16T00:00:00,,ALGEMEEN,0,,,secretariaat@librijn.nl,,015-2512280,https://www.librijn.nl,Papsouwselaan,119,D,2624AK,Delft,Papsouwselaan,119,D,2624AK,Delft,,,,,,,,
1482,106B402,,,,2021-11-11T00:00:00,,ALGEMEEN,0,,,info@stichting-invitare.nl,,0485310263,,Stoofweg,2,,5361HZ,Grave,Stoofweg,2,,5361HZ,Grave,,,,,,,,
1483,106B404,,,,2025-05-22T00:00:00,,ALGEMEEN,2,,,secretariaat@triviascholen.nl,,,https://www.triviascholen.nl/,Pleinstraat,13,A,4126RT,Hei- en Boeicop,Pleinstraat,13,A,4126RT,Hei- en Boeicop,,,,,,,,
1484,106B405,,,,2025-11-05T00:00:00,,ALGEMEEN,0,,Secretariaat,info@ijmare.nl,,0251342121,https://www.ijmare.nl,Maerten van Heemskerckplein,7,B,1964EZ,Heemskerk,Maerten van Heemskerckplein,7,B,1964EZ,Heemskerk,,,,,,,,
1485,106B407,,,,2021-11-30T00:00:00,,ALGEMEEN,0,,,info@mosalira.nl,,043-3540133,,Withuisveld,22,,6226NV,Maastricht,Withuisveld,22,,6226NV,Maastricht,,,,,,,,
1486,106B410,,,,2024-04-10T00:00:00,,ALGEMEEN,0,,,info@pi-scholen.nl,,020705 95 20,https://www.pi-scholen.nl/,Rijksstraatweg,145,,1115AP,Duivendrecht,Rijksstraatweg,145,,1115AP,Duivendrecht,,,,,,,,
1487,106B412,,,,2023-04-11T00:00:00,,ALGEMEEN,0,,,info@pcpow.nl,,0174526950,https://www.pcpow.nl/,Zuidweg,87,,2671MP,Naaldwijk,Zuidweg,87,,2671MP,Naaldwijk,,,,,,,,
1488,106B414,,,,2022-10-05T00:00:00,,ALGEMEEN,1,,CPS Academie,academie@cps.nl,,033 453 43 03,https://www.cps.nl/academie,Disketteweg,11,,3821AR,Amersfoort,POSTBUS,1592,,3800BN,Amersfoort,,,,,,,,
1489,106B415,,,,2021-11-22T00:00:00,,ALGEMEEN,0,,,info@westopenbaaronderwijs.nl,,0174628572,https://westopenbaaronderwijs.nl,Zuidweg,89,,2671MP,Naaldwijk,Zuidweg,89,,2671MP,Naaldwijk,,,,,,,,
1490,106B418,,,,2022-06-27T00:00:00,,ALGEMEEN,0,,,directie@mtsz.nl,,035 624 75 97,http://www.montessorischool-zuid.nl,J.P. Coenstraat,41,,1215KN,Hilversum,J.P. Coenstraat,41,,1215KN,Hilversum,,,,,,,,
1491,106B420,,,,2025-03-27T00:00:00,,ALGEMEEN,0,,Stichting voor Landelijk Onderwijs aan Varende Kinderen,landelijk.bureau@lovk.nl,,0782003333,https://lovk.nl/,Papeterspad,5,,3311WT,Dordrecht,Papeterspad,5,,3311WT,Dordrecht,,,,,,,,
1492,106B428,,,,2023-08-07T00:00:00,,ALGEMEEN,0,,,info@fluenta.nl,,0306008811,,Meentwal,15,,3432GL,Nieuwegein,Meentwal,15,,3432GL,Nieuwegein,,,,,,,,
1493,106B429,,,,2021-04-22T00:00:00,,ALGEMEEN,1,,,info@ppodelink.nl,,0317313132,http://www.ppodelink.nl,Bantuinweg,45,,3911MV,Rhenen,Bantuinweg,45,,3911MV,Rhenen,,,,,,,,
1494,106B430,,,,2022-08-01T00:00:00,,ALGEMEEN,0,,,info@stichtingklasse.nl,,0182-622711,https://www.stichtingklasse.nl/,Middenmolenlaan,68,a,2807EC,Gouda,Middenmolenlaan,68,a,2807EC,Gouda,,,,,,,,
1495,106B432,,,,2022-01-11T00:00:00,,ALGEMEEN,0,,,info@pcpokrimpenerwaards.nl,,0182-350870,http://www.pcpokrimpenerwaard.nl,Hoofdstraat,69,,2861AL,Bergambacht,Hoofdstraat,69,,2861AL,Bergambacht,,,,,,,,
1496,106B433,,,,2024-04-26T00:00:00,,ALGEMEEN,0,,,info@trivium-onderwijs.nl,,0488420612,,Beatrixstraat,13,,6671AC,Zetten,Beatrixstraat,13,,6671AC,Zetten,,,,,,,,
1497,106B436,,,,2023-09-06T00:00:00,,ALGEMEEN,1,,,privacy@wijzer.nu,,010-5910581,,,,,,,,,,,,,,,,,,,
